appointment_type,agency,employee_count,avg_pay,avg_tenure
CAREER (COMPETITIVE SERVICE PERMANENT),GULF COAST ECOSYSTEM RESTORATION COUNCIL,17,142118.29,21.39
CAREER (COMPETITIVE SERVICE PERMANENT),HARRY S. TRUMAN SCHOLARSHIP FOUNDATION,2,163513.0,28.25
CAREER (COMPETITIVE SERVICE PERMANENT),INTER BOUND AND WATER COMM U.S. SECTION,193,88349.6,14.98
CAREER (COMPETITIVE SERVICE PERMANENT),INTER-AMERICAN FOUNDATION,18,138400.61,12.22
CAREER (COMPETITIVE SERVICE PERMANENT),INTERNAT BOUNDARY CMSN: U.S. AND CANADA,4,133282.5,22.7
CAREER (COMPETITIVE SERVICE PERMANENT),INTERNATIONAL JOINT CMSN: U.S. & CANADA,9,162868.44,17.48
CAREER (COMPETITIVE SERVICE PERMANENT),JAMES MADISON MEMORIAL FELLOWSHIP FOUND,0,,
CAREER (COMPETITIVE SERVICE PERMANENT),JAPAN-UNITED STATES FRIENDSHIP CMSN,2,146949.0,9.1
CAREER (COMPETITIVE SERVICE PERMANENT),JUDICIAL BRANCH,0,,
CAREER (COMPETITIVE SERVICE PERMANENT),MARINE MAMMAL COMMISSION,8,130943.5,14.46
CAREER (COMPETITIVE SERVICE PERMANENT),MEDICAID & CHIP PAYMENT & ACCESS COMM,0,,
CAREER (COMPETITIVE SERVICE PERMANENT),MERIT SYSTEMS PROTECTION BOARD,45,126006.4,17.1
CAREER (COMPETITIVE SERVICE PERMANENT),MILLENNIUM CHALLENGE CORPORATION,158,183279.17,14.3
CAREER (COMPETITIVE SERVICE PERMANENT),MORRIS K. UDALL & STEWART L. UDALL FOUND,0,,
CAREER (COMPETITIVE SERVICE PERMANENT),NAT AERONAUTICS AND SPACE ADMINISTRATION,13291,158938.43,19.66
CAREER (COMPETITIVE SERVICE PERMANENT),NAT ARCHIVES AND RECORDS ADMINISTRATION,1900,99732.2,16.43
CAREER (COMPETITIVE SERVICE PERMANENT),NAT CMSN ON LIBRARIES AND INFO SCIENCE,0,,
CAREER (COMPETITIVE SERVICE PERMANENT),NAT FOUNDATION ON ARTS AND HUMANITIES,130,146290.44,16.88
CAREER (COMPETITIVE SERVICE PERMANENT),NATIONAL CAPITAL PLANNING COMMISSION,24,149478.33,12.33
CAREER (COMPETITIVE SERVICE PERMANENT),NATIONAL COUNCIL ON DISABILITY,6,141804.83,16.65
CAREER (COMPETITIVE SERVICE PERMANENT),NATIONAL CREDIT UNION ADMINISTRATION,986,315000.0,18.63
CAREER (COMPETITIVE SERVICE PERMANENT),NATIONAL LABOR RELATIONS BOARD,484,132319.92,22.65
CAREER (COMPETITIVE SERVICE PERMANENT),NATIONAL MEDIATION BOARD,16,158547.75,18.84
CAREER (COMPETITIVE SERVICE PERMANENT),NATIONAL SCIENCE FOUNDATION,632,143137.45,16.97
CAREER (COMPETITIVE SERVICE PERMANENT),NATIONAL SECURITY COUNCIL,0,,
CAREER (COMPETITIVE SERVICE PERMANENT),NATIONAL TRANSPORTATION SAFETY BOARD,302,164027.94,19.19
CAREER (COMPETITIVE SERVICE PERMANENT),NORTHERN BORDER REGIONAL COMMISSION,2,124513.0,13.2
CAREER (COMPETITIVE SERVICE PERMANENT),NUCLEAR REGULATORY COMMISSION,0,,
CAREER (COMPETITIVE SERVICE PERMANENT),NUCLEAR WASTE TECHNICAL REVIEW BOARD,4,146537.75,22.03
CAREER (COMPETITIVE SERVICE PERMANENT),OCCUPATIONAL SAFETY & HEALTH REVIEW CMSN,14,153971.43,21.68
CAREER (COMPETITIVE SERVICE PERMANENT),OFC OF THE NAT CYBER DIR,12,180818.75,16.01
CAREER (COMPETITIVE SERVICE PERMANENT),OFFICE OF ADMINISTRATION,161,138033.95,17.22
CAREER (COMPETITIVE SERVICE PERMANENT),OFFICE OF GOVERNMENT ETHICS,43,152321.02,19.76
CAREER (COMPETITIVE SERVICE PERMANENT),OFFICE OF MANAGEMENT AND BUDGET,322,172041.21,15.67
CAREER (COMPETITIVE SERVICE PERMANENT),OFFICE OF NATIONAL DRUG CONTROL POLICY,25,160645.0,20.26
CAREER (COMPETITIVE SERVICE PERMANENT),OFFICE OF PERSONNEL MANAGEMENT,1869,123774.95,17.24
CAREER (COMPETITIVE SERVICE PERMANENT),OFFICE OF SCIENCE AND TECHNOLOGY POLICY,7,151071.29,28.09
CAREER (COMPETITIVE SERVICE PERMANENT),OFFICE OF SPECIAL COUNSEL,22,127752.05,17.25
CAREER (COMPETITIVE SERVICE PERMANENT),OFFICE OF THE U.S. TRADE REPRESENTATIVE,126,168745.26,17.6
CAREER (COMPETITIVE SERVICE PERMANENT),PEACE CORPS,0,,
CAREER (COMPETITIVE SERVICE PERMANENT),PENSION BENEFIT GUARANTY CORPORATION,729,156822.54,18.55
CAREER (COMPETITIVE SERVICE PERMANENT),PRESIDIO TRUST,0,,
CAREER (COMPETITIVE SERVICE PERMANENT),PRIVACY AND CIVIL LIBERTIES OVERSIGHT,0,,
CAREER (COMPETITIVE SERVICE PERMANENT),PUBLIC BUILDINGS REFORM BOARD,0,,
CAREER (COMPETITIVE SERVICE PERMANENT),PUBLIC INTEREST DECLASSIFICATION BOARD,0,,
CAREER (COMPETITIVE SERVICE PERMANENT),RAILROAD RETIREMENT BOARD,590,113882.56,18.96
CAREER (COMPETITIVE SERVICE PERMANENT),SECURITIES AND EXCHANGE COMMISSION,2089,232045.76,18.62
CAREER (COMPETITIVE SERVICE PERMANENT),SELECTIVE SERVICE SYSTEM,87,112616.97,16.89
CAREER (COMPETITIVE SERVICE PERMANENT),SMALL BUSINESS ADMINISTRATION,1552,135322.32,19.12
CAREER (COMPETITIVE SERVICE PERMANENT),SMITHSONIAN INSTITUTION,3331,109857.73,17.86
CAREER (COMPETITIVE SERVICE PERMANENT),SOCIAL SECURITY ADMINISTRATION,42765,103772.09,17.34
CAREER (COMPETITIVE SERVICE PERMANENT),SOUTHWEST BORDER REGIONAL COMMISSION,0,,
CAREER (COMPETITIVE SERVICE PERMANENT),SURFACE TRANSPORTATION BOARD,52,152992.9,17.98
CAREER (COMPETITIVE SERVICE PERMANENT),THE US SEMIQUINCENTENNIAL COMMISSION,0,,
CAREER (COMPETITIVE SERVICE PERMANENT),TRADE AND DEVELOPMENT AGENCY,34,153246.97,14.72
CAREER (COMPETITIVE SERVICE PERMANENT),U.S. AGENCY FOR INTERNATIONAL DEV,205,164402.5,18.3
CAREER (COMPETITIVE SERVICE PERMANENT),U.S. CMSN ON INTERNATL RELIGIOUS FREEDOM,0,,
CAREER (COMPETITIVE SERVICE PERMANENT),U.S. HOLOCAUST MEMORIAL MUSEUM,93,138192.36,23.82
CAREER (COMPETITIVE SERVICE PERMANENT),U.S. INTERAGENCY COUNCIL ON HOMELESSNESS,0,,
CAREER (COMPETITIVE SERVICE PERMANENT),U.S. INTERNATIONAL TRADE COMMISSION,215,157471.06,16.66
CAREER (COMPETITIVE SERVICE PERMANENT),U.S.-CHINA ECONOMIC & SECURITY REV CMSN,0,,
CAREER (COMPETITIVE SERVICE PERMANENT),U.S.AGENCY FOR GLOBAL MEDIA,671,141567.77,17.02
CAREER (COMPETITIVE SERVICE PERMANENT),UTAH RECLAMATN MITIGATN & CONSERVTN CMSN,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),ADMIN CONFERENCE OF THE UNITED STATES,3,207500.0,23.13
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),ADV COUNCIL ON HISTORIC PRESERVATION,1,214931.0,19.7
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),AFRICAN DEVELOPMENT FOUNDATION,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),AMERICAN BATTLE MONUMENTS COMMISSION,2,215350.0,8.8
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),APPALACHIAN REGIONAL COMMISSION,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),ARCHITECTL & TRANS BARRIER COMPLIANCE BD,1,215000.0,4.9
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),ARCTIC RESEARCH COMMISSION,1,207500.0,19.5
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),ARMED FORCES RETIREMENT HOME,1,217000.0,31.3
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),BARRY GOLDWATER SCHOL & EXCEL IN ED FOUN,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),CHEMICAL SAFETY/HAZARD INVESTIGATION BD,1,225700.0,17.0
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),CIVIL RIGHTS COLD CASE REVIEW BOARD,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),CMSN FOR PRES OF AMERICA'S HERITAGE ABRD,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),CMTE FOR PURCH FRM PPLE BLIND OR SEV DIS,2,223800.0,25.85
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),COMMISSION OF FINE ARTS,1,225700.0,23.9
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),COMMISSION ON CIVIL RIGHTS,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),COMMODITY FUTURES TRADING COMMISSION,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),CONSUMER PRODUCT SAFETY COMMISSION,15,213194.8,25.29
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),CORP FOR NATIONAL AND COMMUNITY SERVICE,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),COUNCIL OF ECONOMIC ADVISERS,1,207500.0,45.5
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),COUNCIL OF INSP. GEN. ON INTEG.& EFFIC.,1,214000.0,16.3
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),COUNCIL ON ENVIR QUAL/OFC OF ENVIR QUAL,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),COURT SERVICES AND OFFENDR SUPERVSN AGY,14,218111.14,30.42
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),DEFENSE NUCLEAR FACILITIES SAFETY BOARD,6,221178.83,24.55
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),DELTA REGIONAL AUTHORITY,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),DENALI COMMISSION,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),DEPARTMENT OF AGRICULTURE,240,213518.72,25.63
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),DEPARTMENT OF COMMERCE,345,215950.01,24.02
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),DEPARTMENT OF DEFENSE,320,,21.26
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),DEPARTMENT OF EDUCATION,44,209947.74,24.89
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),DEPARTMENT OF ENERGY,433,218002.07,23.21
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),DEPARTMENT OF HEALTH AND HUMAN SERVICES,357,216854.63,22.17
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),DEPARTMENT OF HOMELAND SECURITY,549,214643.43,22.6
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),DEPARTMENT OF HOUSING AND URBAN DEVELOPM,75,218915.11,23.42
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),DEPARTMENT OF INTERIOR,224,214217.36,25.22
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),DEPARTMENT OF JUSTICE,634,215290.41,22.99
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),DEPARTMENT OF LABOR,165,220876.6,25.82
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),DEPARTMENT OF STATE,146,216114.21,23.03
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),DEPARTMENT OF THE AIR FORCE,163,,18.27
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),DEPARTMENT OF THE ARMY,214,,21.21
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),DEPARTMENT OF THE NAVY,269,,24.15
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),DEPARTMENT OF TRANSPORTATION,172,214352.42,23.7
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),DEPARTMENT OF TREASURY,386,213231.98,24.09
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),DEPARTMENT OF VETERANS AFFAIRS,349,223256.3,23.42
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),DFC,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),ELECTION ASSISTANCE COMMISSION,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),ENVIRONMENTAL PROTECTION AGENCY,259,216339.69,27.43
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,29,211677.89,25.85
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),EXPORT-IMPORT BANK OF THE UNITED STATES,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),FARM CREDIT ADMINISTRATION,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),FARM CREDIT SYSTEM INSURANCE CORPORATION,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),FED MEDIATION AND CONCILIATION SERVICE,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),FED MINE SAFETY AND HEALTH REVIEW CMSN,2,195445.5,29.0
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),FED RETIREMENT THRIFT INVESTMENT BOARD,9,224044.44,20.04
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),FEDERAL COMMUNICATIONS COMMISSION,30,223076.17,26.44
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),FEDERAL DEPOSIT INSURANCE CORPORATION,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),FEDERAL ELECTION COMMISSION,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),FEDERAL FINANCIAL INST. EXAM. COUNCIL,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),FEDERAL HOUSING FINANCE AGENCY,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),FEDERAL LABOR RELATIONS AUTHORITY,9,214742.44,27.9
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),FEDERAL MARITIME COMMISSION,7,216972.71,22.94
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),FEDERAL PERMITTING IMPROVEMENT STEER,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),FEDERAL RESERVE SYSTEM,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),FEDERAL TRADE COMMISSION,27,213663.78,22.84
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),GENERAL SERVICES ADMINISTRATION,82,213338.75,27.12
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),GOVERNMENT PUBLISHING OFFICE,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),GULF COAST ECOSYSTEM RESTORATION COUNCIL,2,225700.0,20.4
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),HARRY S. TRUMAN SCHOLARSHIP FOUNDATION,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),INTER BOUND AND WATER COMM U.S. SECTION,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),INTER-AMERICAN FOUNDATION,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),INTERNAT BOUNDARY CMSN: U.S. AND CANADA,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),INTERNATIONAL JOINT CMSN: U.S. & CANADA,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),JAMES MADISON MEMORIAL FELLOWSHIP FOUND,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),JAPAN-UNITED STATES FRIENDSHIP CMSN,1,207500.0,14.3
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),JUDICIAL BRANCH,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),MARINE MAMMAL COMMISSION,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),MEDICAID & CHIP PAYMENT & ACCESS COMM,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),MERIT SYSTEMS PROTECTION BOARD,9,218800.0,27.23
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),MILLENNIUM CHALLENGE CORPORATION,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),MORRIS K. UDALL & STEWART L. UDALL FOUND,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),NAT AERONAUTICS AND SPACE ADMINISTRATION,379,216646.99,27.48
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),NAT ARCHIVES AND RECORDS ADMINISTRATION,16,220022.81,23.42
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),NAT CMSN ON LIBRARIES AND INFO SCIENCE,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),NAT FOUNDATION ON ARTS AND HUMANITIES,8,209528.62,22.68
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),NATIONAL CAPITAL PLANNING COMMISSION,1,204000.0,24.3
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),NATIONAL COUNCIL ON DISABILITY,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),NATIONAL CREDIT UNION ADMINISTRATION,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),NATIONAL LABOR RELATIONS BOARD,51,219979.94,27.82
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),NATIONAL MEDIATION BOARD,1,207500.0,35.4
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),NATIONAL SCIENCE FOUNDATION,69,221043.31,19.91
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),NATIONAL SECURITY COUNCIL,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),NATIONAL TRANSPORTATION SAFETY BOARD,16,219274.0,23.81
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),NORTHERN BORDER REGIONAL COMMISSION,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),NUCLEAR REGULATORY COMMISSION,86,210882.62,26.01
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),NUCLEAR WASTE TECHNICAL REVIEW BOARD,1,207500.0,39.9
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),OCCUPATIONAL SAFETY & HEALTH REVIEW CMSN,2,207500.0,36.6
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),OFC OF THE NAT CYBER DIR,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),OFFICE OF ADMINISTRATION,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),OFFICE OF GOVERNMENT ETHICS,1,217385.0,21.8
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),OFFICE OF MANAGEMENT AND BUDGET,50,214308.34,22.01
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),OFFICE OF NATIONAL DRUG CONTROL POLICY,5,215851.0,21.84
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),OFFICE OF PERSONNEL MANAGEMENT,61,219343.13,24.96
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),OFFICE OF SCIENCE AND TECHNOLOGY POLICY,1,199848.0,25.2
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),OFFICE OF SPECIAL COUNSEL,3,217756.0,31.7
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),OFFICE OF THE U.S. TRADE REPRESENTATIVE,18,207207.0,22.21
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),PEACE CORPS,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),PENSION BENEFIT GUARANTY CORPORATION,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),PRESIDIO TRUST,0,,
CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),PRIVACY AND CIVIL LIBERTIES OVERSIGHT,0,,
